epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.4521,3.61166,4.21076,2.92673,0,0,0,0,2.87013,4.2268,2.49076,2e-05,2e-05,2e-05
2,24.1991,3.32012,4.13215,2.80035,0,0,0,0,2.71636,4.25315,2.37381,5.9406e-05,5.9406e-05,5.9406e-05
3,32.9671,3.43542,4.04489,2.66593,0,0,0,0,2.6747,4.26666,2.30087,9.802e-05,9.802e-05,9.802e-05
4,41.9501,3.04411,4.00181,2.44275,0,0,0,0,2.54518,4.19635,2.21593,0.000135842,0.000135842,0.000135842
5,50.8156,3.00175,3.93262,2.24452,0.00333,0.25,0.00217,0.00074,2.48471,4.19759,2.12918,0.000172872,0.000172872,0.000172872
6,59.4191,2.86737,3.65205,2.22615,0.00333,0.25,0.00246,0.00104,2.53962,4.23741,2.1033,0.00020911,0.00020911,0.00020911
7,67.5839,2.83879,3.72291,2.08242,0.00333,0.25,0.00255,0.00127,2.19393,3.95622,1.90291,0.000244556,0.000244556,0.000244556
8,75.7354,2.5393,3.51781,1.93334,0.00333,0.25,0.01435,0.00164,2.68038,4.05562,2.36787,0.00027921,0.00027921,0.00027921
9,83.8863,2.58665,3.34311,1.95385,0.00333,0.25,0.03315,0.00392,2.33451,4.05712,1.92169,0.000313072,0.000313072,0.000313072
10,92.2791,2.32201,3.09768,1.79082,0.00333,0.25,0.00258,0.00138,2.1699,3.96779,1.82358,0.000346142,0.000346142,0.000346142
11,100.26,2.44389,3.38006,1.84026,0.00333,0.25,0.24627,0.05007,2.41551,4.01957,1.92743,0.00037842,0.00037842,0.00037842
12,108.316,2.46331,2.9334,1.79155,0.00333,0.25,0.24627,0.05023,2.29936,3.84523,1.79128,0.000409906,0.000409906,0.000409906
13,116.337,2.3431,3.31163,1.84667,0.00333,0.25,0.24627,0.04016,2.11563,3.75295,1.6961,0.0004406,0.0004406,0.0004406
14,124.319,2.3219,3.17765,1.82297,0.00333,0.25,0.24627,0.03856,2.2213,3.74493,1.78789,0.000470502,0.000470502,0.000470502
15,132.292,2.4484,3.15722,1.89287,0.00333,0.25,0.24627,0.0384,2.32841,3.72777,1.80987,0.000499612,0.000499612,0.000499612
