epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.1241,2.74993,6.13815,2.61635,0,0,0,0,2.45899,6.08569,2.53673,8e-05,8e-05,8e-05
2,58.3353,2.5803,6.07353,2.50106,0,0,0,0,2.06048,5.80093,2.16628,0.000178218,0.000178218,0.000178218
3,84.1908,2.27923,5.6853,2.30959,0,0,0,0,1.83215,5.21115,1.96076,0.000274456,0.000274456,0.000274456
4,109.685,2.14053,5.17934,2.20595,0,0,0,0,1.8077,4.58473,1.90637,0.000368714,0.000368714,0.000368714
5,135.861,2.05975,4.63206,2.13001,0.0142,0.6,0.06583,0.02592,1.86273,3.7062,1.90432,0.000460992,0.000460992,0.000460992
6,161.435,2.11306,4.01611,2.17962,0.00751,0.8,0.0943,0.038,1.83306,3.16237,1.90778,0.00055129,0.00055129,0.00055129
7,187.135,1.99373,3.47895,2.12113,0.00459,0.86667,0.11095,0.04208,2.00739,2.95122,2.03079,0.000639608,0.000639608,0.000639608
8,212.817,1.98318,3.10858,2.12217,0.00467,0.93333,0.04375,0.01685,2.27467,3.08116,2.16559,0.000725946,0.000725946,0.000725946
9,238.535,2.17084,2.98191,2.17722,0.00433,0.86667,0.06109,0.0204,2.39289,4.18971,2.23212,0.000810304,0.000810304,0.000810304
10,264.112,1.88229,2.73484,1.96449,0.02396,0.93333,0.11939,0.04921,1.84026,3.70741,1.94703,0.000892682,0.000892682,0.000892682
11,289.358,1.97079,2.78978,2.00141,0.02091,0.8,0.11268,0.04435,2.19874,2.69913,2.13629,0.00097308,0.00097308,0.00097308
12,315.369,1.78699,2.67293,1.8367,0.05424,0.66667,0.09245,0.02182,2.84588,2.59211,2.84063,0.0010515,0.0010515,0.0010515
13,341.751,1.94808,2.60895,2.0817,0.08586,0.6,0.1294,0.03534,2.56213,2.57016,2.53443,0.00112794,0.00112794,0.00112794
14,367.954,1.76709,2.56079,1.88053,0.22801,0.4,0.23335,0.10098,2.23671,2.57703,2.29659,0.00120239,0.00120239,0.00120239
15,393.249,1.8196,2.4518,1.93908,0.311,0.33333,0.23804,0.07372,2.7318,2.89775,2.95022,0.00127487,0.00127487,0.00127487
16,418.862,1.80841,2.37474,1.91354,0.25614,0.13333,0.20001,0.07663,2.53607,3.14237,2.6714,0.00134537,0.00134537,0.00134537
17,444.335,1.73148,2.32019,1.90755,0.4622,0.26667,0.25811,0.15234,1.9704,2.61209,1.98981,0.00141389,0.00141389,0.00141389
18,470.19,1.82319,2.21201,1.87138,0.45702,0.26667,0.22374,0.12899,1.80647,2.46171,1.89624,0.00148043,0.00148043,0.00148043
19,495.944,1.71128,2.34887,1.8358,0.34389,0.33333,0.32423,0.16883,1.82938,2.4254,1.92358,0.00154498,0.00154498,0.00154498
20,521.51,1.70668,2.24896,1.79153,0.41433,0.33333,0.28466,0.14301,1.76678,2.49562,1.90163,0.00160756,0.00160756,0.00160756
21,549.45,1.76045,2.1433,1.78302,0.45107,0.38444,0.29644,0.16236,1.55221,2.35815,1.74627,0.001604,0.001604,0.001604
22,575.018,1.72827,2.07559,1.80697,0.49232,0.4,0.31723,0.12502,1.66561,2.41699,1.79857,0.0015842,0.0015842,0.0015842
23,601.709,1.75229,2.27786,1.84213,0.40391,0.33333,0.27265,0.14894,1.6608,2.45007,1.76903,0.0015644,0.0015644,0.0015644
24,629.11,1.66315,2.09231,1.73852,0.49702,0.4,0.31174,0.13317,2.1562,2.31445,2.20431,0.0015446,0.0015446,0.0015446
25,657.608,1.70498,2.15542,1.78961,0.43901,0.4,0.35438,0.13462,2.31566,2.32141,2.41707,0.0015248,0.0015248,0.0015248
26,685.353,1.67807,2.24553,1.8115,0.58017,0.4,0.39717,0.1654,2.06611,2.17868,2.17385,0.001505,0.001505,0.001505
27,714.084,1.68962,2.14873,1.77951,0.59247,0.4,0.43689,0.18485,1.88261,2.13301,2.04726,0.0014852,0.0014852,0.0014852
28,741.524,1.57599,1.96283,1.71256,0.58711,0.4,0.37578,0.16692,1.89057,2.35161,2.03144,0.0014654,0.0014654,0.0014654
29,768.299,1.70623,2.2231,1.8321,0.61041,0.46667,0.37849,0.16283,1.82862,2.32649,1.90628,0.0014456,0.0014456,0.0014456
30,794.623,1.57841,2.00017,1.665,0.56873,0.44097,0.34789,0.17968,1.65139,2.61171,1.7993,0.0014258,0.0014258,0.0014258
31,821.492,1.61168,2.10254,1.70277,0.58238,0.46667,0.39367,0.22491,1.55689,2.4902,1.75395,0.001406,0.001406,0.001406
32,848.385,1.64329,1.93895,1.71441,0.7615,0.46667,0.49058,0.23291,1.63019,1.91342,1.75377,0.0013862,0.0013862,0.0013862
33,874.644,1.68561,1.9129,1.80377,0.68377,0.46667,0.46088,0.26068,1.5022,1.91816,1.65105,0.0013664,0.0013664,0.0013664
34,901.195,1.54496,1.89778,1.61469,0.67149,0.46667,0.44182,0.25303,1.55457,1.9514,1.68029,0.0013466,0.0013466,0.0013466
35,927.889,1.58531,2.07124,1.70487,0.60927,0.52061,0.44724,0.2496,1.60755,1.82486,1.73571,0.0013268,0.0013268,0.0013268
36,956.65,1.52795,1.96346,1.6317,0.66551,0.39815,0.41409,0.22177,1.52139,2.00329,1.68833,0.001307,0.001307,0.001307
37,983.653,1.58386,1.93372,1.73573,0.45961,0.56792,0.42361,0.22246,1.56793,2.13786,1.70646,0.0012872,0.0012872,0.0012872
38,1009.44,1.57276,1.93553,1.65246,0.48973,0.53333,0.41099,0.22336,1.53711,2.3692,1.67624,0.0012674,0.0012674,0.0012674
39,1036.47,1.44905,1.8789,1.62063,0.53798,0.46584,0.42312,0.21437,1.52169,2.25904,1.6512,0.0012476,0.0012476,0.0012476
40,1063.14,1.48916,1.7344,1.61758,0.44364,0.46667,0.43647,0.21423,1.60467,1.82013,1.73645,0.0012278,0.0012278,0.0012278
41,1089.96,1.48866,1.85133,1.64321,0.48737,0.57136,0.4355,0.22573,1.48615,1.79172,1.62395,0.001208,0.001208,0.001208
42,1116.97,1.34881,1.62148,1.52985,0.51683,0.50032,0.44681,0.25886,1.38365,1.80684,1.55905,0.0011882,0.0011882,0.0011882
43,1143.31,1.45791,1.93224,1.62619,0.46807,0.46667,0.39476,0.23127,1.3725,1.8481,1.56121,0.0011684,0.0011684,0.0011684
44,1170.4,1.40464,1.86377,1.56987,0.49371,0.66667,0.41212,0.19266,1.77599,1.94918,1.82554,0.0011486,0.0011486,0.0011486
45,1197.02,1.44379,1.79661,1.5866,0.54062,0.53333,0.43403,0.21468,1.73222,1.96425,1.80939,0.0011288,0.0011288,0.0011288
46,1223.76,1.4405,1.68625,1.58103,0.49845,0.6,0.45809,0.25732,1.54464,1.85355,1.68282,0.001109,0.001109,0.001109
47,1251.52,1.44557,1.72998,1.59838,0.4642,0.4,0.47033,0.25447,1.53304,1.78567,1.68286,0.0010892,0.0010892,0.0010892
48,1278.53,1.38782,1.61289,1.50832,0.67979,0.4,0.43694,0.26289,1.60268,1.77423,1.71619,0.0010694,0.0010694,0.0010694
49,1307.47,1.38895,1.68875,1.47922,0.84337,0.46667,0.56274,0.26645,1.74083,1.74824,1.84444,0.0010496,0.0010496,0.0010496
50,1334.44,1.46891,1.78389,1.59385,0.87367,0.46667,0.5823,0.29142,1.81261,1.65522,1.88734,0.0010298,0.0010298,0.0010298
51,1361.35,1.51446,1.6338,1.56454,0.79731,0.46667,0.57366,0.3078,1.64592,1.61293,1.75037,0.00101,0.00101,0.00101
52,1388.65,1.46139,1.61566,1.53043,0.81481,0.58764,0.58719,0.36013,1.46914,1.50881,1.58852,0.0009902,0.0009902,0.0009902
53,1415.13,1.36968,1.63878,1.50303,0.80669,0.6,0.63112,0.35968,1.48329,1.47782,1.60143,0.0009704,0.0009704,0.0009704
54,1442.02,1.42518,1.66789,1.52825,0.749,0.53333,0.60948,0.32372,1.57751,1.42042,1.69584,0.0009506,0.0009506,0.0009506
55,1469.95,1.2904,1.53516,1.42369,0.66886,0.6,0.60889,0.33479,1.57026,1.39665,1.69158,0.0009308,0.0009308,0.0009308
56,1497.37,1.38486,1.71017,1.53381,0.81508,0.58864,0.59424,0.35227,1.40756,1.51516,1.58084,0.000911,0.000911,0.000911
57,1524.38,1.36445,1.57959,1.50731,0.81802,0.6,0.58957,0.35593,1.35947,1.56845,1.52626,0.0008912,0.0008912,0.0008912
58,1552.12,1.45026,1.7576,1.56827,0.77999,0.6,0.5908,0.33066,1.42576,1.62674,1.54083,0.0008714,0.0008714,0.0008714
59,1578.87,1.38344,1.58139,1.49852,0.817,0.59565,0.60359,0.31516,1.53618,1.62664,1.60845,0.0008516,0.0008516,0.0008516
60,1605.54,1.40183,1.61279,1.57469,0.70799,0.53333,0.5521,0.28642,1.49882,1.66346,1.62963,0.0008318,0.0008318,0.0008318
61,1632.28,1.36427,1.573,1.50099,0.7105,0.53333,0.54844,0.30769,1.43196,1.60384,1.59541,0.000812,0.000812,0.000812
62,1660.52,1.32105,1.54861,1.44669,0.67323,0.6,0.54901,0.30653,1.50148,1.53396,1.65223,0.0007922,0.0007922,0.0007922
63,1687.37,1.38232,1.61918,1.51172,0.79733,0.6,0.61008,0.32813,1.49804,1.55558,1.64098,0.0007724,0.0007724,0.0007724
64,1714.22,1.31597,1.47495,1.45647,0.78802,0.6,0.59389,0.30234,1.63029,1.55461,1.76659,0.0007526,0.0007526,0.0007526
65,1741.32,1.31667,1.61697,1.47791,0.79684,0.6,0.60383,0.29113,1.67621,1.57106,1.81756,0.0007328,0.0007328,0.0007328
66,1768.19,1.3401,1.63893,1.54132,0.71132,0.53333,0.58488,0.28581,1.6334,1.56168,1.79045,0.000713,0.000713,0.000713
67,1794.83,1.32507,1.54285,1.4614,0.58678,0.6,0.57197,0.2991,1.59807,1.61698,1.75111,0.0006932,0.0006932,0.0006932
68,1822.61,1.1971,1.40322,1.39416,0.55661,0.53333,0.51815,0.25602,1.69155,1.74064,1.78351,0.0006734,0.0006734,0.0006734
69,1849.55,1.18036,1.44476,1.37408,0.5616,0.53333,0.52956,0.26884,1.6433,1.7704,1.727,0.0006536,0.0006536,0.0006536
70,1876.98,1.16665,1.42872,1.34618,0.4915,0.46667,0.44852,0.25285,1.56604,1.69478,1.65945,0.0006338,0.0006338,0.0006338
71,1903.82,1.18318,1.45351,1.34142,0.48852,0.46667,0.46125,0.2565,1.52019,1.58795,1.63798,0.000614,0.000614,0.000614
72,1930.44,1.1614,1.36483,1.38369,0.51944,0.46667,0.49324,0.24539,1.75791,1.59474,1.89785,0.0005942,0.0005942,0.0005942
73,1957.13,1.20845,1.40978,1.39027,0.52266,0.53333,0.51903,0.25545,1.74335,1.57476,1.91458,0.0005744,0.0005744,0.0005744
74,1984.1,1.24346,1.45415,1.39362,0.56263,0.53333,0.5433,0.2689,1.74832,1.52744,1.96567,0.0005546,0.0005546,0.0005546
75,2010.8,1.26325,1.54784,1.43886,0.63115,0.53333,0.55401,0.26866,1.76328,1.52381,1.98911,0.0005348,0.0005348,0.0005348
76,2037.32,1.21448,1.4679,1.40144,0.84234,0.53333,0.59483,0.27976,1.7407,1.50749,1.94506,0.000515,0.000515,0.000515
77,2064.17,1.23083,1.49786,1.41111,0.8372,0.53333,0.59996,0.28831,1.71281,1.46899,1.88462,0.0004952,0.0004952,0.0004952
78,2090.54,1.18142,1.45976,1.40918,0.80088,0.53656,0.6552,0.3377,1.58583,1.40945,1.72181,0.0004754,0.0004754,0.0004754
79,2118.14,1.26868,1.49506,1.39691,0.86013,0.53333,0.65277,0.37595,1.44897,1.32103,1.58399,0.0004556,0.0004556,0.0004556
80,2146.48,1.21678,1.44061,1.40541,0.86793,0.53333,0.66779,0.45611,1.30687,1.20668,1.48865,0.0004358,0.0004358,0.0004358
81,2173.66,1.1095,1.31131,1.31361,0.88658,0.53333,0.68764,0.45949,1.23947,1.21573,1.45674,0.000416,0.000416,0.000416
82,2200.37,1.07304,1.28262,1.2926,0.88751,0.5267,0.69659,0.4429,1.2489,1.22791,1.47247,0.0003962,0.0003962,0.0003962
83,2227.42,1.17865,1.32017,1.34766,0.81073,0.53333,0.71159,0.4359,1.286,1.25258,1.49154,0.0003764,0.0003764,0.0003764
84,2256.05,1.20943,1.32205,1.33385,0.57231,0.71441,0.71965,0.39772,1.41371,1.28139,1.59736,0.0003566,0.0003566,0.0003566
85,2284.63,1.12838,1.33704,1.32817,0.57149,0.71209,0.71235,0.39967,1.42786,1.31614,1.62188,0.0003368,0.0003368,0.0003368
86,2314.45,1.18673,1.33207,1.36553,0.72746,0.6,0.70102,0.40028,1.3869,1.29818,1.60221,0.000317,0.000317,0.000317
87,2344.98,1.17369,1.33481,1.36899,0.73534,0.6,0.70216,0.39812,1.36498,1.30242,1.59568,0.0002972,0.0002972,0.0002972
88,2373.05,1.28437,1.57635,1.48343,0.89849,0.59094,0.68235,0.36094,1.36967,1.27144,1.5945,0.0002774,0.0002774,0.0002774
89,2400.4,1.1897,1.37565,1.36577,0.89535,0.57213,0.69422,0.36444,1.37308,1.23476,1.58709,0.0002576,0.0002576,0.0002576
90,2427.27,1.15524,1.31922,1.34233,0.8595,0.53333,0.67064,0.35718,1.37775,1.23143,1.57521,0.0002378,0.0002378,0.0002378
91,2454.7,1.14688,1.21531,1.4393,0.85808,0.53333,0.67123,0.38102,1.33956,1.23291,1.52295,0.000218,0.000218,0.000218
